Post_Date,Organization,Organization_Link,Posts,Is_Walkin,Qualification,Experience_Type,Last_Date,Days_Left,Job_Type
27-05-2025,State Health Society Bihar (SHS Bihar),https://linkingsky.com/government-exams/psu-jobs/state-health-society-bihar-recruitment.html,2619 Medical Officer (Ayush),False,Doctors,Fresher,15-06-2025,,Top Job
27-05-2025,Employees State Insurance Corporation (ESIC),https://linkingsky.com/government-exams/psu-jobs/employees-state-insurance-corporation-recruitment.html,1 Teaching Faculty (ESIC College of Nursing Kalaburagi),False,Doctors,Experience,31-05-2025,4.0,Added Today
27-05-2025,Govind Ballabh Pant University of Agriculture and Technology (GBPUAT),https://linkingsky.com/government-exams/Teaching_Jobs/gbpuat-recruitment.html,1 Junior Research Fellow (Department of Agronomy),False,Post Graduates,Experience,02-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Junior Research Fellow (Civil Engineering Department),False,"Post Graduates,Engineers",Fresher,02-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Junior Research Fellow (Physics Department),False,"Post Graduates,Engineers",Fresher,30-05-2025,3.0,Added Today
27-05-2025,National Mineral Development Corporation (NMDC),https://linkingsky.com/government-exams/psu-jobs/NMDC-Recruitment.html,"995 Maintenance Assistant, HEM Operator and Various (Hyderabad)",False,"ITI,Matriculation,Servicemen,Graduates,Diploma",Fresher,14-06-2025,,Top Job
27-05-2025,Tripura High Court,https://linkingsky.com/government-exams/psu-jobs/tripura-high-court-recruitment.html,127 Group C/D (District & Sub-ordinate Judiciary),False,"Matriculation,Servicemen,Graduates","Fresher,Experience",26-06-2025,,Top Job
27-05-2025,National Institute of Oceanography (NIO),https://linkingsky.com/government-exams/Teaching_Jobs/nio-recruitment.html,3 Project Associate I,False,Post Graduates,Fresher,01-06-2025,,Added Today
27-05-2025,National Institute of Oceanography (NIO),https://linkingsky.com/government-exams/Teaching_Jobs/nio-recruitment.html,34 Apprentice Trainees (Walkin),True,"Graduates,Diploma,Doctors",Fresher,06-06-2025,,Top Job
27-05-2025,National Institute of Oceanography (NIO),https://linkingsky.com/government-exams/Teaching_Jobs/nio-recruitment.html,25 Junior Secretariat Assistant and Junior Stenographer,False,"Intermediate,Servicemen",Fresher,24-06-2025,,Top Job
27-05-2025,Defence Research and Development Organisation (DRDO),https://linkingsky.com/government-exams/Police-Defence-Jobs/drdo-recruitment.html,148 Scientist B,False,"Servicemen,Post Graduates,Engineers",Fresher,21-06-2025,,Top Job
27-05-2025,Artificial Limbs Manufacturing Corporation of India (ALIMCO),https://linkingsky.com/government-exams/psu-jobs/alimco-recruitment.html,"43 Manager, Medical Officer and Various",False,"ITI,Graduates,Post Graduates,Engineers,Post Graduate Diploma,Doctors",Experience,07-07-2025,,Added Today
27-05-2025,National Institute for Research in Bacterial Infections (NIRBI),https://linkingsky.com/government-exams/Teaching_Jobs/national-institute-for-research-in-bacterial-infections-nirbi-recruitment.html,4 Young Professionals I/II,False,"Graduates,Post Graduates",Experience,02-06-2025,,Added Today
27-05-2025,Garden Reach Shipbuilders and Engineers Limited (GRSE),https://linkingsky.com/government-exams/psu-jobs/grse-recruitment.html,"56 Supervisor, Design Assistant and Various",False,"Servicemen,Graduates,Post Graduates,Post Graduate Diploma,Doctors","Fresher,Experience",12-06-2025,,Top Job
27-05-2025,Madhya Pradesh High Court (MP High Court),https://linkingsky.com/government-exams/psu-jobs/Madhya-Pradesh-High-Court-Recruitment.html,"68 Grade IV, Liftmen and Driver",False,Matriculation,Fresher,28-05-2025,1.0,Top Job
27-05-2025,National Chemical Laboratory Pune (NCL Pune),https://linkingsky.com/government-exams/psu-jobs/ncl-recruitment.html,2 Project Associate I,False,Post Graduates,Fresher,30-05-2025,3.0,Added Today
27-05-2025,National Chemical Laboratory Pune (NCL Pune),https://linkingsky.com/government-exams/psu-jobs/ncl-recruitment.html,1 Project Associate I,False,"Post Graduates,Engineers",Fresher,02-06-2025,,Added Today
27-05-2025,National Environmental Engineering Research Institute (NEERI),https://linkingsky.com/government-exams/Teaching_Jobs/neeri-recruitment.html,1 Project Associate,False,Post Graduates,Experience,29-05-2025,2.0,Added Today
27-05-2025,National Environmental Engineering Research Institute (NEERI),https://linkingsky.com/government-exams/Teaching_Jobs/neeri-recruitment.html,1 Project Associate I,False,Engineers,Fresher,29-05-2025,2.0,Added Today
27-05-2025,National Chemical Laboratory Pune (NCL Pune),https://linkingsky.com/government-exams/psu-jobs/ncl-recruitment.html,3 Project Associate I,False,"Post Graduates,Engineers",Fresher,10-06-2025,,Added Today
27-05-2025,National Mineral Development Corporation (NMDC),https://linkingsky.com/government-exams/psu-jobs/NMDC-Recruitment.html,"9 Staff Nurse, Dresser and Various (NMDC APOLLO CENTRAL HOSPITAL) (Walkin)",True,"Intermediate,Matriculation,Graduates,Post Graduates,Doctors",Experience,01-06-2025,,Added Today
27-05-2025,Indian Institute of Tropical Meteorology Pune (IITM Pune),https://linkingsky.com/government-exams/Teaching_Jobs/IITM-Recruitment.html,2 Consultant and Technical Assistant (Walkin),True,"Post Graduates,Engineers",Experience,29-05-2025,2.0,Added Today
27-05-2025,Chittaranjan National Cancer Institute (CNCI),https://linkingsky.com/government-exams/Teaching_Jobs/chittaranjan-national-cancer-institute-cnci-recruitment.html,2 Engineer (Biomedical) and Administrative Medical Officer,False,"Engineers,Doctors",Experience,31-05-2025,4.0,Added Today
27-05-2025,National Environmental Engineering Research Institute (NEERI),https://linkingsky.com/government-exams/Teaching_Jobs/neeri-recruitment.html,1 Project Associate II,False,Post Graduates,Experience,28-05-2025,1.0,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Post Doctoral Fellow (Walkin),True,Post Graduates,Fresher,10-06-2025,,Added Today
27-05-2025,Govind Ballabh Pant University of Agriculture and Technology (GBPUAT),https://linkingsky.com/government-exams/Teaching_Jobs/gbpuat-recruitment.html,1 Senior Research Fellow (Department of Agronomy),False,Post Graduates,Fresher,03-06-2025,,Added Today
27-05-2025,Govind Ballabh Pant University of Agriculture and Technology (GBPUAT),https://linkingsky.com/government-exams/Teaching_Jobs/gbpuat-recruitment.html,1 Project Associate (Department of Biochemistry),False,Post Graduates,Fresher,18-06-2025,,Added Today
27-05-2025,Sikkim Public Service Commission (Sikkim PSC),https://linkingsky.com/government-exams/STATE_PSC/sikkim-psc-recruitment.html,39 Sub Inspector,False,"Servicemen,Graduates",Fresher,30-06-2025,,Top Job
27-05-2025,Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya (RVSKVV),https://linkingsky.com/government-exams/Teaching_Jobs/rvskvv-recruitment.html,4 Young Professional and Assistantship (Extended) (Walkin),True,Graduates,Fresher,30-05-2025,3.0,Added Today
26-05-2025,National Health Systems Resource Centre (NHSRC),https://linkingsky.com/government-exams/psu-jobs/nhsrc-recruitment.html,1 Senior Consultant (Health Management Information System),False,"Post Graduates,Post Graduate Diploma",Experience,10-06-2025,,Regular
26-05-2025,National Medicinal Plants Board (NMPB),https://linkingsky.com/government-exams/psu-jobs/national-medicinal-plants-board-nmpb-recruitment.html,1 Project Consultant (Herbal Garden),False,Post Graduates,Experience,09-06-2025,,Regular
26-05-2025,Jawaharlal Nehru University (JNU),https://linkingsky.com/government-exams/Teaching_Jobs/jnu-delhi-recruitment.html,"3 JRF, Jr Project Consultant and Jr IT Consultant",False,"Post Graduates,Engineers","Fresher,Experience",20-06-2025,,Regular
26-05-2025,Assam University (AU Silchar),https://linkingsky.com/government-exams/Teaching_Jobs/assam-university-recruitment.html,1 Project Associate (Department of Computer Science and Engineering),False,Post Graduates,Fresher,31-05-2025,4.0,Regular
26-05-2025,Assam University (AU Silchar),https://linkingsky.com/government-exams/Teaching_Jobs/assam-university-recruitment.html,2 Junior Research Fellow and Project Technical Assistant (Department of Pharmaceutical Science),False,Doctors,Fresher,01-06-2025,,Regular
26-05-2025,National Book Trust (NBT),https://linkingsky.com/government-exams/psu-jobs/nbt-recruitment.html,1 Regional Manager (Western Regional Office Pune),False,Graduates,Experience,02-06-2025,,Regular
26-05-2025,Central Bank of India (CBI),https://linkingsky.com/government-exams/bank/central-bank-of-india-recruitment.html,1 Business Correspondent Supervisor,False,Graduates,Experience,31-05-2025,4.0,Regular
26-05-2025,Sardar Vallabhbhai National Institute of Technology Surat (SVNIT Surat),https://linkingsky.com/government-exams/Teaching_Jobs/svnit-recruitment.html,1 Teaching Assistant (Department of Chemical Engineering) (Walkin),True,Post Graduates,Fresher,16-06-2025,,Regular
26-05-2025,National Institute of Technology Srinagar (NIT Srinagar),https://linkingsky.com/government-exams/Teaching_Jobs/nit-srinagar-Recruitment.html,1 Junior Research Fellow (Department of MME),False,Post Graduates,Fresher,31-05-2025,4.0,Regular
26-05-2025,National Institute of Technology Srinagar (NIT Srinagar),https://linkingsky.com/government-exams/Teaching_Jobs/nit-srinagar-Recruitment.html,1 Junior Research Fellow (Mechanical Engineering Departmet),False,Post Graduates,Fresher,03-06-2025,,Regular
26-05-2025,Bose Institute,https://linkingsky.com/government-exams/Teaching_Jobs/bose-institute-recruitment.html,1 Research Associate (Walkin),True,Post Graduates,Fresher,13-06-2025,,Regular
26-05-2025,Sardar Vallabhbhai National Institute of Technology Surat (SVNIT Surat),https://linkingsky.com/government-exams/Teaching_Jobs/svnit-recruitment.html,1 Teaching Assistants (Department of Artificial Intelligence) (Walkin),True,Post Graduates,Fresher,12-06-2025,,Regular
26-05-2025,Tata Institute of Social Sciences (TISS),https://linkingsky.com/government-exams/Teaching_Jobs/tiss-recruitment.html,1 Project Coordinator,False,"Post Graduates,Post Graduate Diploma",Experience,29-06-2025,,Regular
26-05-2025,Tata Institute of Social Sciences (TISS),https://linkingsky.com/government-exams/Teaching_Jobs/tiss-recruitment.html,1 Senior Research Officer,False,Post Graduates,Experience,30-05-2025,3.0,Regular
26-05-2025,Tata Institute of Social Sciences (TISS),https://linkingsky.com/government-exams/Teaching_Jobs/tiss-recruitment.html,1 IT Infrastructure Network Engineer,False,"Graduates,Post Graduates",Experience,31-05-2025,4.0,Regular
26-05-2025,Tata Institute of Social Sciences (TISS),https://linkingsky.com/government-exams/Teaching_Jobs/tiss-recruitment.html,1 Software Engineer (Java),False,"Post Graduates,Engineers",Experience,31-05-2025,4.0,Regular
26-05-2025,Tata Institute of Social Sciences (TISS),https://linkingsky.com/government-exams/Teaching_Jobs/tiss-recruitment.html,2 Software Developer (Python),False,"Post Graduates,Engineers",Experience,31-05-2025,4.0,Regular
26-05-2025,Central University of Jammu (CU Jammu),https://linkingsky.com/government-exams/Teaching_Jobs/central-university-of-jammu-recruitment.html,1 Project Associate I,False,Post Graduates,Fresher,10-06-2025,,Regular
26-05-2025,Digital India Corporation (DIC),https://linkingsky.com/government-exams/psu-jobs/digital-india-corporation-dic-recruitment.html,1 Assistant Manager/Deputy Manager (Finance),False,"Graduates,Post Graduates,Post Graduate Diploma",Experience,28-05-2025,1.0,Regular
26-05-2025,Digital India Corporation (DIC),https://linkingsky.com/government-exams/psu-jobs/digital-india-corporation-dic-recruitment.html,1 Business Analyst,False,Graduates,Experience,01-06-2025,,Regular
26-05-2025,Digital India Corporation (DIC),https://linkingsky.com/government-exams/psu-jobs/digital-india-corporation-dic-recruitment.html,1 Full Stack Developer,False,Engineers,Experience,01-06-2025,,Regular
26-05-2025,Digital India Corporation (DIC),https://linkingsky.com/government-exams/psu-jobs/digital-india-corporation-dic-recruitment.html,1 Full Stack Developer,False,Graduates,Experience,04-06-2025,,Regular
26-05-2025,National Health Mission Kerala (NHM Kerala),https://linkingsky.com/government-exams/psu-jobs/nrhm-kerala-recruitment.html,1 Technical Consultant (Technical Support Group),False,"Post Graduates,Doctors",Experience,05-06-2025,,Regular
26-05-2025,Institute of Microbial Technology (IMTECH Chandigarh),https://linkingsky.com/government-exams/Teaching_Jobs/imtech-chandigarh-recruitment.html,4 Project Associate I,False,"Post Graduates,Engineers",Experience,31-05-2025,4.0,Regular
26-05-2025,School of Planning and Architecture Vijayawada (SPA Vijayawada),https://linkingsky.com/government-exams/Teaching_Jobs/school-of-planning-and-architecture-vijayawada-recruitment.html,1 Research Assistant (Tiruchirappalli Regional Plan),False,"Graduates,Post Graduates",Fresher,02-06-2025,,Regular
26-05-2025,Indira Gandhi Institute of Medical Sciences (IGIMS Patna),https://linkingsky.com/government-exams/Teaching_Jobs/igims-patna-recruitment.html,2 Senior Resident (Department of Skin & V.D) (Walkin),True,Doctors,Fresher,05-06-2025,,Regular
26-05-2025,Karbi Anglong district,https://linkingsky.com/government-exams/psu-jobs/karbi-ang-long-district-recruitment.html,1 Young Professional (Entomology) (Regional Coffee Research Station) (Walkin),True,Post Graduates,Fresher,11-06-2025,,Regular
26-05-2025,Indian Institute of Technology Varanasi (IIT BHU),https://linkingsky.com/government-exams/Teaching_Jobs/iit-bhu-recruitment.html,1 Research Associate I,False,Post Graduates,Fresher,05-06-2025,,Regular
26-05-2025,Indian Institute of Technology Delhi (IIT Delhi),https://linkingsky.com/government-exams/Teaching_Jobs/iit-delhi-recruitment.html,1 Project Consultant,False,Post Graduates,Experience,03-06-2025,,Regular
26-05-2025,Indian Institute of Information Technology Design and Manufacturing Jabalpur (IIITDM Jabalpur),https://linkingsky.com/government-exams/Teaching_Jobs/iiitdm-jabalpur-recruitment.html,1 Field Investigator,False,Post Graduates,Fresher,05-06-2025,,Regular
26-05-2025,Indian Institute of Technology Indore (IIT Indore),https://linkingsky.com/government-exams/Teaching_Jobs/iit-indore-recruitment.html,1 Project Assistant,False,Engineers,Fresher,31-05-2025,4.0,Regular
26-05-2025,University of Hyderabad (UOHYD),https://linkingsky.com/government-exams/Teaching_Jobs/hyderabad-university-recruitment.html,1 Lab Attendant (Semi Skilled),False,Intermediate,Experience,09-06-2025,,Regular
26-05-2025,Digital India Corporation (DIC),https://linkingsky.com/government-exams/psu-jobs/digital-india-corporation-dic-recruitment.html,1 Content Writer,False,Graduates,Experience,04-06-2025,,Regular
26-05-2025,Digital India Corporation (DIC),https://linkingsky.com/government-exams/psu-jobs/digital-india-corporation-dic-recruitment.html,50 Technical Internship,False,"Post Graduates,Engineers",Fresher,15-06-2025,,Regular
26-05-2025,Digital India Corporation (DIC),https://linkingsky.com/government-exams/psu-jobs/digital-india-corporation-dic-recruitment.html,1 Business Analyst,False,"Graduates,Engineers",Experience,07-06-2025,,Regular
26-05-2025,Indian Agricultural Research Institute (IARI),https://linkingsky.com/government-exams/Teaching_Jobs/iari-recruitment.html,1 Young Professional II (The Graduate School),False,Post Graduates,Experience,30-05-2025,3.0,Regular
26-05-2025,Indian Agricultural Research Institute (IARI),https://linkingsky.com/government-exams/Teaching_Jobs/iari-recruitment.html,1 Senior Research Fellow (Division of Vegetable Science) (Walkin),True,Post Graduates,Experience,13-06-2025,,Regular
26-05-2025,Indian Agricultural Research Institute (IARI),https://linkingsky.com/government-exams/Teaching_Jobs/iari-recruitment.html,1 Junior Research Fellow (Division of Genetics),False,"Post Graduates,Engineers",Fresher,05-06-2025,,Regular
26-05-2025,Indian Agricultural Research Institute (IARI),https://linkingsky.com/government-exams/Teaching_Jobs/iari-recruitment.html,1 Senior Research Fellow (Division of Plant Physiology),False,Post Graduates,Experience,30-05-2025,3.0,Regular
26-05-2025,Indian Agricultural Research Institute (IARI),https://linkingsky.com/government-exams/Teaching_Jobs/iari-recruitment.html,"3 Young Professional, Helper and Various (Division of Entomology) (Walkin)",True,"Intermediate,Matriculation,Post Graduates",Fresher,13-06-2025,,Regular
26-05-2025,Indian Agricultural Research Institute (IARI),https://linkingsky.com/government-exams/Teaching_Jobs/iari-recruitment.html,1 Young Professional II (Division of Agricultural Chemicals),False,Post Graduates,Fresher,10-06-2025,,Regular
26-05-2025,Indian Agricultural Research Institute (IARI),https://linkingsky.com/government-exams/Teaching_Jobs/iari-recruitment.html,10 Young Professional I (Division of Agronomy),False,Graduates,Fresher,15-06-2025,,Regular
26-05-2025,National Institute for Research in Bacterial Infections (NIRBI),https://linkingsky.com/government-exams/Teaching_Jobs/national-institute-for-research-in-bacterial-infections-nirbi-recruitment.html,2 Consultant,False,Post Graduates,Experience,28-05-2025,1.0,Regular
26-05-2025,Indian Council of Medical Research (ICMR),https://linkingsky.com/government-exams/psu-jobs/icmr-recruitment.html,12 Young Professional II,False,"Graduates,Post Graduates",Experience,30-05-2025,3.0,Regular
